Comment,nMatched,Lat_,Lon_,Easting,SD_east,Northing,SD_north,HAE_,Max_PDOP,Max_HDOP,Horz_Prec,GPSTime
19203,18,42.3800705,-72.46974183,708304.656,1.609445592,4695077.76,1.885641654,62.0125,2.8,1.7,1.6,12/13/18
19207,16,42.37934158,-72.47271862,708061.988,0.377219101,4694989.519,1.266482726,56.2185,3,1.95,0.9,12/13/18
19214,11,42.37924266,-72.47237559,708090.559,2.181894015,4694979.376,2.153561794,61.831,4.6,2.9,3.6,12/13/18
19215,17,42.37918173,-72.47214745,708109.567,1.543235381,4694973.136,0.340116146,54.955,2.6,1.5,2.2,12/13/18
19225,16,42.38005402,-72.46979809,708300.092,1.66084619,4695075.813,3.353231454,67.974,2.85,1.2,1.7,12/13/18
19232,19,42.37905635,-72.47190181,708130.194,0.662969322,4694959.844,0.658296917,56.408,3,2,0.6,12/13/18
19243,20,42.37951223,-72.47091225,708210.149,1.945144982,4695012.87,0.703801213,58.957,2.9,1.5,1.1,12/13/18
19245,19,42.37936347,-72.47272189,708061.683,1.91676525,4694991.964,2.762449325,61.706,3.7,1.7,1.8,12/13/18
19247,16,42.37969967,-72.47081242,708217.7515,1.014271724,4695033.936,1.481419567,65.678,2.8,1.5,2.4,12/13/18
19251,13,42.3793322,-72.47265561,708067.242,2.339567476,4694988.629,1.816220456,58.177,3.6,1.7,2.6,12/13/18
19253,21,42.37910979,-72.47200906,708121.143,1.497071562,4694965.459,2.022919474,56.022,2.8,1.7,1,12/13/18
19254,17,42.38003163,-72.46989714,708292.027,1.328768074,4695073.052,0.94324062,70.352,3.2,1.6,1.9,12/13/18
19257,19,42.37945513,-72.4731466,708026.344,0.993691111,4695001.103,1.438692354,56.19,2.9,1.4,2.4,12/13/18
19261,17,42.37952296,-72.47091512,708209.962,1.626326045,4695014.034,1.073293659,57.474,2.9,1.5,1.2,12/13/18
19263,19,42.37910854,-72.47212353,708111.791,1.977950871,4694965.072,1.011553666,56.981,3,1.8,1.6,12/13/18
19267,26,42.37912961,-72.47202417,708119.866,0.325489541,4694967.678,0.83801841,56.233,2.9,1.8,1.6,12/13/18
19269,24,42.37909713,-72.47201408,708120.817,1.052547564,4694964.099,1.835427099,56.897,3,1.85,1.7,12/13/18
