OID,RID,MEAS,Distance,GPSTime,ID,FeatureNam,Latitude,Longitude,Easting,Northing,HAE,MSL,Comment,Max_PDOP,Max_HDOP,Corr_Type,Feat_Name,Filt_Pos
-1,2,1208.95984,-0.149254548,06/29/21 0:00,1,Point_generic,42.38004444,-72.46969502,708308.616,4695074.978,66.226,95.021,19326,3.9,2.2,Postprocessed Code,Point_generic,28
-1,2,1207.960122,0.337626895,06/29/21 0:00,2,Point_generic,42.38004577,-72.4697084,708307.51,4695075.093,68.879,97.674,81498,4.2,2.3,Postprocessed Code,Point_generic,21
-1,2,1206.259998,4.836047768,06/29/21 0:00,3,Point_generic,42.3800794,-72.46974516,708304.372,4695078.737,63.924,92.719,19383,5,2.4,Postprocessed Code,Point_generic,21
-1,2,1204.8056,-4.41286571,06/29/21 0:00,4,Point_generic,42.37999623,-72.4697267,708306.167,4695069.547,68.799,97.595,19203,4.5,2.4,Postprocessed Code,Point_generic,41
-1,2,1203.0056,-2.339886352,06/29/21 0:00,5,Point_generic,42.38000901,-72.4697564,708303.679,4695070.894,63.359,92.154,81496,6.3,4.7,L1  Postprocessed Carrier Float,Point_generic,27
-1,2,1198.179737,-2.95267645,06/29/21 0:00,6,Point_generic,42.37999155,-72.46980938,708299.376,4695068.825,66.229,95.024,81481,3,2.3,Postprocessed Code,Point_generic,26
-1,2,1196.293731,-3.368290261,06/29/21 0:00,7,Point_generic,42.37998273,-72.46982958,708297.742,4695067.795,66.016,94.811,19373,4.4,2.1,L1L2  Postprocessed Carrier Float,Point_generic,19
-1,2,1198.0056,-0.354204762,06/29/21 0:00,8,Point_generic,42.38001328,-72.46982128,708298.324,4695071.208,66.488,95.284,19357,6.5,5.5,L1  Postprocessed Carrier Float,Point_generic,21
-1,2,1199.394053,0.21580692,06/29/21 0:00,9,Point_generic,42.38002195,-72.46980718,708299.456,4695072.206,66.536,95.332,19384,3.5,2.7,Postprocessed Code,Point_generic,32
-1,2,1201.625213,0.197727588,06/29/21 0:00,10,Point_generic,42.38002745,-72.46978112,708301.583,4695072.88,68.697,97.492,19348,3.5,2.6,Postprocessed Code,Point_generic,26
-1,2,1204.173406,2.120961644,06/29/21 0:00,11,Point_generic,42.38005052,-72.46975801,708303.41,4695075.498,66.877,95.673,81492,4.8,2.4,Postprocessed Code,Point_generic,23
-1,2,1199.7056,-4.603720342,06/29/21 0:00,12,Point_generic,42.37998111,-72.46978709,708301.245,4695067.72,68.114,96.909,19399,3.9,3.4,Postprocessed Code,Point_generic,28
-1,2,1198.583517,-1.309214699,06/29/21 0:00,13,Point_generic,42.38000675,-72.46981091,708299.199,4695070.508,65.685,94.481,19225,2.8,1.7,Postprocessed Code,Point_generic,21
-1,2,1198.7056,1.848207845,06/29/21 0:00,14,Point_generic,42.3800341,-72.46982141,708298.244,4695073.52,67.673,96.469,19351,2.7,1.5,Postprocessed Code,Point_generic,25
-1,2,1196.165692,0.170238485,06/29/21 0:00,15,Point_generic,42.38001264,-72.46984439,708296.423,4695071.081,65.244,94.04,81479,3.6,2.5,Postprocessed Code,Point_generic,19
-1,2,1196.572858,-2.445284365,06/29/21 0:00,16,Point_generic,42.37999141,-72.46982983,708297.692,4695068.758,63.103,91.899,19350,4.6,3.7,Postprocessed Code,Point_generic,25
